  UNIVERS,,CATÉGORIES,,SOUS-CATÉGORIES (FILTRES),,TYPE PRODUIT,,,,,FR,,EN,,
NOUVEAUTES,,,,,,,,,,,,,,,
Femme,Women ,Vêtements,Clothing,Nouveautés,New in,Nouveautés du jour,New in,Catégorie_Nouveautés du jour,Category_New in,"Nouveautés du jour,New in,Catégorie_Combinaisons,Category_Jumpsuits",Combinaisons,Category_Jumpsuits,Jumpsuits,"Catégorie_Combinaisons,Category_Jumpsuits",Done
Femme,Women ,Vêtements,Clothing,Nouveautés,New in,Nouveautés classiques,Classic ,Catégorie_Nouveautés classiques,Category_Classic ,"Nouveautés classiques,Classic ,Catégorie_Combinaisons,Category_Jumpsuits",Combinaisons,Category_Jumpsuits,Jumpsuits,"Catégorie_Combinaisons,Category_Jumpsuits",Done
Femme,Women ,Vêtements,Clothing,Nouveautés,New in,Nouveautés avant-gardistes,Avant garde ,Catégorie_Nouveautés avant-gardistes,Category_Avant garde ,"Nouveautés avant-gardistes,Avant garde ,Catégorie_Combinaisons,Category_Jumpsuits",Combinaisons,Category_Jumpsuits,Jumpsuits,"Catégorie_Combinaisons,Category_Jumpsuits",Done
Femme,Women ,Vêtements,Clothing,Nouveautés,New in,Nouveautés glamour,Glamour,Catégorie_Nouveautés glamour,Category_Glamour,"Nouveautés glamour,Glamour,Catégorie_Combinaisons,Category_Jumpsuits",Combinaisons,Category_Jumpsuits,Jumpsuits,"Catégorie_Combinaisons,Category_Jumpsuits",Done
Femme,Women ,Vêtements,Clothing,Nouveautés,New in,Nouveautés streetwear,Streetwear,Catégorie_Nouveautés streetwear,Category_Streetwear,"Nouveautés streetwear,Streetwear,Catégorie_Combinaisons,Category_Jumpsuits",Combinaisons,Category_Jumpsuits,Jumpsuits,"Catégorie_Combinaisons,Category_Jumpsuits",Done
Femme,Women ,Vêtements,Clothing,Nouveautés,New in,Nouveautés minimalistes,Minimalist,Catégorie_Nouveautés minimalistes,Category_Minimalist,"Nouveautés minimalistes,Minimalist,Catégorie_Combinaisons,Category_Jumpsuits",Combinaisons,Category_Jumpsuits,Jumpsuits,"Catégorie_Combinaisons,Category_Jumpsuits",Done
Femme,Women ,Vêtements,Clothing,Nouveautés,New in,Nouveautés romantiques,Romantic,Catégorie_Nouveautés romantiques,Category_Romantic,"Nouveautés romantiques,Romantic,Catégorie_Combinaisons,Category_Jumpsuits",Combinaisons,Category_Jumpsuits,Jumpsuits,"Catégorie_Combinaisons,Category_Jumpsuits",Done
VETEMENTS FEMME,,,,,,,,,,,,,,,
Femme,Women ,Vêtements,Clothing,Hauts,Tops,Blouses,Blouses       ,Catégorie_Blouses,Category_Blouses       ,"Blouses,Blouses       ,Catégorie_Hauts,Category_Tops",Hauts,Category_Tops,Tops,"Catégorie_Hauts,Category_Tops",Done
Femme,Women ,Vêtements,Clothing,Hauts,Tops,Cardigans,Cardigans,Catégorie_Cardigans,Category_Cardigans,"Cardigans,Cardigans,Catégorie_Hauts,Category_Tops",Hauts,Category_Tops,Tops,"Catégorie_Hauts,Category_Tops",Done
Femme,Women ,Vêtements,Clothing,Hauts,Tops,Chemises,Shirts,Catégorie_Chemises,Category_Shirts,"Chemises,Shirts,Catégorie_Hauts,Category_Tops",Hauts,Category_Tops,Tops,"Catégorie_Hauts,Category_Tops",Done
Femme,Women ,Vêtements,Clothing,Hauts,Tops,Débardeurs,Tank tops,Catégorie_Débardeurs,Category_Tank tops,"Débardeurs,Tank tops,Catégorie_Hauts,Category_Tops",Hauts,Category_Tops,Tops,"Catégorie_Hauts,Category_Tops",Done
