  UNIVERS,,CATÉGORIES,,SOUS-CATÉGORIES (FILTRES),,TYPE PRODUIT,,,,,FR,,EN,,
VETEMENTS FEMME,,,,,,,,,,,,,,,
Femme,Women ,Vêtements,Clothing,Combinaisons,Jumpsuits,Combinaisons & Salopettes,Jumpsuits & Overalls,Catégorie_Combinaisons & Salopettes,Category_Jumpsuits & Overalls,"Combinaisons & Salopettes,Jumpsuits & Overalls,Catégorie_Combinaisons,Category_Jumpsuits",Combinaisons,Category_Jumpsuits,Jumpsuits,"Catégorie_Combinaisons,Category_Jumpsuits",Done
Femme,Women ,Vêtements,Clothing,Hauts,Tops,Body,Body,Catégorie_Body,Category_Body,"Body,Body,Catégorie_Hauts,Category_Tops",Hauts,Category_Tops,Tops,"Catégorie_Hauts,Category_Tops",Done
Femme,Women ,Vêtements,Clothing,Hauts,Tops,Chemises & Blouses,Blouses & Shirts,Catégorie_Chemises & Blouses,Category_Blouses & Shirts,"Chemises & Blouses,Blouses & Shirts,Catégorie_Hauts,Category_Tops",Hauts,Category_Tops,Tops,"Catégorie_Hauts,Category_Tops",Done
Femme,Women ,Vêtements,Clothing,Hauts,Tops,T-shirts & Débardeurs,T-shirts & Tank tops,Catégorie_T-shirts & Débardeurs,Category_T-shirts & Tank tops,"T-shirts & Débardeurs,T-shirts & Tank tops,Catégorie_Hauts,Category_Tops",Hauts,Category_Tops,Tops,"Catégorie_Hauts,Category_Tops",Done
Femme,Women ,Vêtements,Clothing,Hauts,Tops,Tops,Tops,Catégorie_Tops,Category_Tops,"Tops,Tops,Catégorie_Hauts,Category_Tops",Hauts,Category_Tops,Tops,"Catégorie_Hauts,Category_Tops",Done
Femme,Women ,Vêtements,Clothing,Denim,Denim,Jeans droits,Straight jeans,Catégorie_Jeans droits,Category_Straight jeans,"Jeans droits,Straight jeans,Catégorie_Denim,Category_Denim",Denim,Category_Denim,Denim,"Catégorie_Denim,Category_Denim",Done
Femme,Women ,Vêtements,Clothing,Denim,Denim,Jeans larges,Wide & flared jeans,Catégorie_Jeans larges,Category_Wide & flared jeans,"Jeans larges,Wide & flared jeans,Catégorie_Denim,Category_Denim",Denim,Category_Denim,Denim,"Catégorie_Denim,Category_Denim",Done
Femme,Women ,Vêtements,Clothing,Denim,Denim,Jeans slim,Slim jeans,Catégorie_Jeans slim,Category_Slim jeans,"Jeans slim,Slim jeans,Catégorie_Denim,Category_Denim",Denim,Category_Denim,Denim,"Catégorie_Denim,Category_Denim",Done
Femme,Women ,Vêtements,Clothing,Jupes,Skirts,Jupes longues,Long skirts,Catégorie_Jupes longues,Category_Long skirts,"Jupes longues,Long skirts,Catégorie_Jupes,Category_Skirts",Jupes,Category_Skirts,Skirts,"Catégorie_Jupes,Category_Skirts",Done
